Part No,Category,SMC LP,CUBIX LP,Description
CDM2KF32-125Z,,4700,4864.5,
G36-10-01,,610,631.35,
CDM2B32-300Z,,2560,2649.6,
ITV0050-3L,,12015,12435.53,
AS4201F-04-12SA,,600,621,
KFH06-02S,,82,84.87,
TE1209G-100,,14000,14490,
TE1209R-100,,14000,14490,
AF40-04BD-A-X2729,,7165,7415.78,
CQ2B50-40DMZ,,2715,2810.03,
CQ2B25-20D,,1215,1257.53,
CQ2B25-30D,,1340,1386.9,
CQ2B20-30D,,1240,1283.4,
ITV2030-03F2CL(0),,18272,18911.52,
CQMB16-25,,3560,3684.6,
CDQMB16-25,,3635,3762.23,
SS5Y5-10SKAN-05U-C8,,18030,18661.05,
FH100-02-010-P010,,3670,3798.45,
FH150-03-010-P010,,3670,3798.45,
MHZ2-32,,26440,27365.4,
MY1B32-500Z-M9PL,,17670,18288.45,
MGPM32-100-M9PL,,14455,14960.93,
MDB1B32-60+60Z-XC11,,5820,6023.7,
CD85N16-80-M9PL,,4465,4621.28,
MGPM16-80Z-M9PL,,8545,8844.08,
AN30-03BD-B,,3035,3141.23,
Y300-A,,230,238.05,
MBB63-50Z,,3335,3451.73,
KQ2H08-01A,,87,90.05,
KQ2H08-03A,,110,113.85,
SS5Y9-23-03,,3215,3327.53,
SY9120-5DZ-03,,3715,3845.03,
I-05M,,530,548.55,
KQ2H10-03A,,103,106.61,
AW40-06DG1-B,,4580,4740.3,
AFM40-06D-A,,3575,3700.13,
VHS40-06A,,3055,3161.93,
KQ2P-12,,40,41.4,
KQ2H12-U02A,,93,96.26,
IBG11-13,,8940,9252.9,
IBV10-X7,,18245,18883.58,
AS1201F-M5E-06A,,254,262.89,
PF2M750S-01-A,,12375,12808.13,
MGPM12-50Z,,5010,5185.35,
VP542-5D1-02A,,3297,3412.4,
D-P4DWL,,3635,3762.23,
VXD230BF,,2355,2437.43,
VT307-4D1-01,,2050,2121.75,
MY1B32-600Z-M9PL,,18250,18888.75,
CDQ2B25-40-20DCMZ-XC11-M9PL,,12700,13144.5,
MGPM25-100Z-M9PL,,10570,10939.95,
MGPM16-75Z-M9PL,,8290,8580.15,
CS96-100,,1740,1800.9,
MDBF50-50Z,,3235,3348.23,
MHZ2-25,,17690,18309.15,
MKB20-10-RNZ-M9PL,,10310,10670.85,
MGPM25-75Z-M9PL,,10310,10670.85,
CD55B20-80M-M9PL,,4455,4610.93,
MDB1B32-40+20-XC11Z-M9PL,,9765,10106.78,
SY5120-5LZ-01,,2130,2204.55,
CDQMB32-30,,5020,5195.7,
MKB40TF-20LZ,,9310,9635.85,
MKB40TF-20RZ,,9310,9635.85,
MKB40R-20Z-DCU6674U,,55300,57235.5,
SSQ1000-1A-4,,315,326.03,
CP96SDB40-600C,,4520,4678.2,
CP96SDB32-250C,,3015,3120.53,
SY5520-5DZ-01,,5390,5578.65,
MGPM16-150Z,,6505,6732.68,
MGPM16-100Z,,5990,6199.65,
MDBB80-750Z,,8385,8678.48,
MDB1B80-180Z,,5960,6168.6,
MY1B20-300,,11585,11990.48,
CDQMB25-25,,4245,4393.58,
ISE20CH-R-02-W,,11570,11974.95,
VHS40-F04A,,2250,2328.75,
VHS50-F10A,,4395,4548.83,
AFM20-F02-C-A,,1875,1940.63,
MY1M25-300,,17790,18412.65,
MY1M25-400,,18385,19028.48,
MY1B25-200Z,,11340,11736.9,
MY1B16-100,,10055,10406.93,
MGPZ25-X5T32-100,,9709,10048.82,
AS3201F-03-10A,,460,476.1,
D-F8PL,,1405,1454.18,
CD85N20-60,,1670,1728.45,
MKB50-10RZ,,10790,11167.65,
CRBU2W30-180SZ,,5205,5387.18,
PA3210-03-N,,44000,45540,
KQ2R06-12A,,104,107.64,
KQ2LF06-01A,,121,125.24,
KFG2H0604-02,,610,631.35,
KFG2H1209-04,,1739,1799.87,
AS500-06,,1910,1976.85,
CP96SDB32-300C,,3150,3260.25,
CP96SDB32-500C,,3695,3824.33,
SYA5420-C8,,3730,3860.55,
SYA5220-C8,,2090,2163.15,
CHDKGB20-15M-M9PL,,8620,8921.7,
ITV1050-041CS2,,14435,14940.23,
MDB1WB63-300Z,,6105,6318.68,
VVQ1000-51A-C6,,240,248.4,
LEKFS32GA-100-R5C6H71,,74470,77076.45,
CDQ2B32-40DCZ,,2240,2318.4,
VX224EGAXB,,3395,3513.83,
AR43P-270AS,,80,82.8,
AR43P-260S,,60,62.1,
IDG30A-03,,42810,44308.35,
AMH250C-03BD-T,,8820,9128.7,
AMG250C-03BD,,6400,6624,
E310-U03,,280,289.8,
IFW510-03-66,,8995,9309.83,
SS5Y5-X5A1788,,36550,37829.25,
CM2KB32-25Z,,3930,4067.55,
MHS3-25D,,17195,17796.83,
SY5140-3DZ,,3215,3327.53,
CDQ2KB40-100DZ-M9BM,,7235,7488.23,
EVS7-6-FG-D-3CVO-Q,,8040,8321.4,
ISA3-GCP-1LB,,10320,10681.2,
SS5Y5-X2X1003,,73815,76398.53,
52-SY5120-LL20-01,,5680,5878.8,
52-SY7120-TT20-02,,6170,6385.95,
SS5Y7-20-14,,3700,3829.5,
MHS3-16D,,14955,15478.43,
ISE20A-R-01-JA1,,4075,4217.63,
CQ2B20-20D,,1120,1159.2,
MKB63-50RZ,,15445,15985.58,
MHS3-40D,,21955,22723.43,
KQ2S10-01AS,,126,130.41,
VM230-02-30RA-X219,,4645,4807.58,
VQ7-6-FIG-D-3ZR,,9400,9729,
MHZ2-25D,,15205,15737.18,
CJ1B4-10SU4,,895,926.33,
CDQ2B32-10+5DCZ-XC11,,10605,10976.18,
VFA5244-04,,5735,5935.73,
MHM-16D1,,22560,23349.6,
LEFS32B-850B-S5C918,,97740,101160.9,
PF3W720-F04-BN-M,,20855,21584.93,
CDBM2B20-40A-HN-XC8,,8040,8321.4,
MHL2-40D,,41495,42947.33,
TU0604Y-20,,745,771.08,
TU0805Y-20,,1355,1402.43,
CQ2WA32-50DZ,,3085,3192.98,
SS5Y51-X5A1893,,31310,32405.85,
MGPM40-50Z-M9PL,,13225,13687.88,
CD85N20-10-B-M9PLS,,3095,3203.33,
CD85N20-15-B-M9PL,,4680,4843.8,
CD85N20-30-B-M9PL,,4735,4900.73,
CD85N20-60-B-M9PL,,4780,4947.3,
MHY2-10D,,9035,9351.23,
CDM2B20-50Z,,1410,1459.35,
CM2B20-50Z,,1305,1350.68,
MY1B32-100Z-M9PL,,15335,15871.73,
MGPM16-50Z,,5470,5661.45,
IRV20-C06,,4360,4512.6,
ZFC75-B,,1055,1091.93,
ITV2030-33F3BN3-Q,,17290,17895.15,
ITVX2030-31F3BS2,,94860,98180.1,
SY7120T-5GZ-02,,2980,3084.3,
CP96SDB125-750,,20895,21626.33,
VFS5310-5DB-06,,13225,13687.88,
IR2200-02BG1-A,,5310,5495.85,
IR2210-02BG1-A,,5220,5402.7,
CD85N12-10C-B,,2180,2256.3,
CD85N16-10C-B,,1810,1873.35,
VM230-02-05A,,1645,1702.58,
CDQ2B32-30DMZ,,1930,1997.55,
LEYG32LC-100C-S2AN3D,,56835,58824.23,
ISE20C-R-02-WK,,12865,13315.28,
MGPM32-200Z,,14900,15421.5,
MGPM50-100Z,,14260,14759.1,
MGPM32-50Z,,10410,10774.35,
MKB32-20RZ,,8990,9304.65,
MKB32-20LZ,,8990,9304.65,
ZP2-TB05MUN-A3,,520,538.2,
SY3120-5LZ-M5,,2435,2520.23,
CDQ2A32-30DZ,,1840,1904.4,
CP96SDB40-480C,,4200,4347,
CDQ2B25-25DMZ-M9PWL,,4535,4693.73,
KFG2H1209-04S,,1760,1821.6,
CDQMB20-25Z-M9NV,,6435,6660.23,
LEYG32LC-100W-S3AN3D,,71850,74364.75,
VXE2230V-02F-5G1-B,,3800,3933,
PF2MC7501-04-L4-MA,,23510,24332.85,
PFMB7-X5V1669,,17222,17824.77,
ISE20A-V-01-JA2K,,5325,5511.38,
ITV3050-04F4CL3,,27920,28897.2,
3402186G,,65,67.28,
AN302-03,,365,377.78,
ZPT40HBN-A14,,3000,3105,
ZH15DSA-02-03-03,,1740,1800.9,
AF20-02B-2-A,,1005,1040.18,
MDBB32-700Z-M9PL,,6505,6732.68,
MKB16-10RZ,,4495,4652.33,
CQSWB20-10D,,2565,2654.78,
VM430-01-33,,2495,2582.33,
CDQ2B32-10DZ,,1660,1718.1,
MKB40TF-10RZ,,8990,9304.65,
MKB32TF-10RZ,,9740,10080.9,
MKB32TF-10LZ,,9740,10080.9,
MHZJ2-20D,,15465,16006.28,
MHY2-20D,,11085,11472.98,
MKB40-20RZ,,9310,9635.85,
CDQ2B32-40DZ,,1945,2013.08,
CDQ2B63-25DZ,,3485,3606.98,
CDQ2B40-50DZ,,2605,2696.18,
CDQ2B40-75DZ,,2825,2923.88,
CDQ2B32-25DZ,,1805,1868.18,
CDQ2B50-50DZ,,3160,3270.6,
MKB40-20LZ,,9310,9635.85,
CDQ2B50-20DZ,,2705,2799.68,
CDQ2B40-75DMZ,,2910,3011.85,
SY5420-5D-01-F2,,5170,5350.95,
ASP330F-01-08S,,1995,2064.83,
KQ2R06-08A,,97,100.4,
KQ2R08-10A,,116,120.06,
LEYG32LDEC-100W-R3C5183,,80190,82996.65,
PF3W740-F04-BT-MR,,30420,31484.7,
VXD242HZ2KA,,4400,4554,
CDQ2B80-15DMZ-M9PAVS,,6875,7115.63,
CDM2B32-600AZ,,5590,5785.65,
MY1B32-1000Z-M9PL,,20585,21305.48,
MDBB32-1000Z-M9PL,,7140,7389.9,
MGJ6-10,,4610,4771.35,
AC60-10DG1-B,,14865,15385.28,
MDBB32-1000Z,,4270,4419.45,
CDQ2A50-10DZ,,2625,2716.88,
VQZ3151-5YZ1-X113,,6475,6701.63,
MGPL20-40Z-A93L,,10050,10401.75,
SS5Q1-X 5S874,,18430,19075.05,
X1S30HSA-PS,,1530,1583.55,
M-5H-6,,45,46.58,
CD55B20-5-M9PL,,2830,2929.05,
CD55B20-50-M9PL,,4330,4481.55,
CD55B20-30Z-M9PL,,4185,4331.48,
CD55B20-25Z,,1610,1666.35,
MGPM16-20Z,,5170,5350.95,
MGPM20-75Z,,6765,7001.78,
AMD 550 - AMD EL - 550,,12010,12430.35,
AMD 650 - ADM EL -650,,11400,11799,
VX210EGXB,,1515,1568.03,
CXSM20-70-Y7PL,,11320,11716.2,
AD600-10,,7230,7483.05,
CQ2B40TF-5+5DMZ-XB6C11,,10030,10381.05,
BM5-025,,290,300.15,
CD85N25-150C-B,,3355,3472.43,
AF50-06-A,,2240,2318.4,
AFF8C-03BD,,7380,7638.3,
AM350C-03BD,,6950,7193.25,
AMG350C-03BD,,7945,8223.08,
VQ23151-5YZ1-X113,,6475,6701.63,
SY7300-5U1,,4505,4662.68,
AF50P-060S,,840,869.4,
AF60P-060S,,1040,1076.4,
CJPB6-5B,,,0,
PF2MC7501-04-F-RA,,22610,23401.35,
CP96SDB32-160C-M9PL,,5370,5557.95,
VX210BZ2AXB,,1870,1935.45,
VXZ2C2HGXB,,6725,6960.38,
RBC0806,,2045,2116.58,
ZU07SA,,1055,1091.93,
MUB25-PS,,350,362.25,
MUB25-20DZ,,2925,3027.38,
MHZ2-10D,,9850,10194.75,
KQ2LF08-01A,,144,149.04,
VT307E-5G1-02,,2760,2856.6,
CDQ2A32-35DMZ-M9PL,,4540,4698.9,
CDQ2A32-50DMZ-M9PL,,4715,4880.03,
CDQ2B32-25DMZ-M9PL,,4445,4600.58,
CDQ2B32-50DMZ-M9PL,,4715,4880.03,
MDBF63-600Z-M9PL,,8925,9237.38,
CDS2F125-500-M9PL,,19900,20596.5,
CDQ2B50-30DMZ-M9PL,,5595,5790.83,
CDS2F125-900-M9PL,,24565,25424.78,
CKG1B63-125YAZ-M9PL,,10480,10846.8,
MDBB63-125Z-M9PL,,6605,6836.18,
CKB-YA04,,655,677.93,
IDFA37E-23,,124120,128464.2,
ITV1050-31F2BN3,,12100,12523.5,
AFM40-04BD-A,,3385,3503.48,
AFF8C-04BD,,7380,7638.3,
SY9440-5DZ-04,,7480,7741.8,
ASP530F-04-10S,,3960,4098.6,
AN40-04,,345,357.08,
AC4OA-04CG1-B,,6905,7146.68,
AW40-N06B-2-B,,3885,4020.98,
CP96SDB125-900C-M9PL,,25545,26439.08,
CP96SDB125-500C-M9PL,,20445,21160.58,
NCMB106-0050,,2170,2245.95,
ZH20DSA-10-12-12,,2895,2996.33,
BJ6-016,,280,289.8,
ZPT10CN-A5,,555,574.43,
CP96SDF125-900-M9PL,,30030,31081.05,
CP96SDF125-500 M9PL,,24440,25295.4,
ISE20A-Y-01-JA1,,3855,3989.93,
CDU10-25D-M9NL,,4840,5009.4,
CDU10-30D-M9NL,,4840,5009.4,
VQ7-6-FG-D-3,,6375,6598.13,
SRH4010-04,,19920,20617.2,
CDJ2B10-45Z-A,,1375,1423.13,
MDBB32-300Z,,2795,2892.83,
MGPM20-100Z,,7020,7265.7,
MGPM20-40Z-A93,,7895,8171.33,
AN20-C10,,400,414,
MGPM20-40,,6405,6629.18,
MGPM25-40Z-M9P,,9540,9873.9,
CP9650-X2T862-80,,3375,3493.13,
ITV2030-012BL3,,18300,18940.5,
ISA3-GCB-1,,12345,12777.08,
KQ2H16-04NS,,307,317.75,
KQ2H16-03NS,,312,322.92,
CDQ2A20-15DZ,,1245,1288.58,
CDQ2A32-15DZ,,1700,1759.5,
CDQ2A40-10DZ,,2135,2209.73,
CDQ2A32-150DCZ,,5595,5790.83,
IF311-10-00,,5855,6059.93,
VXE2320V-02-5DL1-B,,5305,5490.68,
C96SDB50-200C,,3625,3751.88,
KQ2P-06,,25,25.88,
CP96SBD32-160-M9PL,,5370,5557.95,
ASP530F-03-10S,,2910,3011.85,
AC40-04CG1-B,,7850,8124.75,
CDM2B32-300AZ,,3915,4052.03,
CDM2B32-20Z,,2075,2147.63,
AW60-F06-B,,5115,5294.03,
AV5000-F06-5DZ-Q,,11255,11648.93,
AN500-06,,780,807.3,
SS5Y5-X5B82,,96595,99975.83,
SY9540-5DZ-04,,7480,7741.8,
AR40K-04BG-B,,2595,2685.83,
SY5200-5U1,,4000,4140,
VHS50-F06A,,4395,4548.83,
CQ2B32-10SZ ,,1555,1609.43,
CDQSB20-200DCM,,4635,4797.23,
CQSB20-PS,,350,362.25,
Y600T-A,,461,477.14,
MDWBB63-600,,27945,28923.08,
CQ2A32-40 DMZ-XC6,,4075,4217.63,
PFM711S-F02-B-M,,12350,12782.25,
RBC2015,,3395,3513.83,
CXSL15-75,,9915,10262.03,
CDA2L100-110Z,,12750,13196.25,
SY7420-5DZ-02-F2,,6190,6406.65,
ISE20A-T-01,,3565,3689.78,
VP517Y-5DZ1,,4500,4657.5,
ISE20A-T-01-JA2,,4075,4217.63,
SY7220-5YOS-C10F-Q,,5080,5257.8,
AN101-01,,235,243.23,
TJ-0805,,25,25.88,
TJ-0806,,25,25.88,
T0806B-20,,2020,2090.7,
JXC-W2A-C,,11610,12016.35,
LEC-W2-U,,960,993.6,
CQ2B25R-30D,,3945,4083.08,
MXQ25-125B-M9BL,,55935,57892.73,
MXQ16-30A,,23250,24063.75,
MHF2-16D1R,,19115,19784.03,
MGPM25-125Z,,8105,8388.68,
MSQB10A,,21900,22666.5,
C85F20-50K,,3360,3477.6,
ITV3050-33F3CN,,26775,27712.13,
KQ2L06-U02A1,,135,139.73,
KQ2W06-02AS1,,190,196.65,
KQ2E06-00A1,,185,191.48,
AN20-02,,315,326.03,
KQ2F06-01A,,100,103.5,
KQ2E10-00A,,251,259.79,
KQ2L06-U01A1,,125,129.38,
D-M9PSAPC,,1625,1681.88,
CS4,,163,168.71,
IR1000-01BG-A,,4500,4657.5,
AKH06-00,,495,512.33,
TU0604B-20,,745,771.08,
TU1065B -20,,2145,2220.08,
MGPM16-30Z,,5265,5449.28,
ITVH2020-043BL3,,77415,80124.53,
CP96SDB63-1000C,,8525,8823.38,
MGPM-40-25Z,,10175,10531.13,
MGPM25-400Z-M9PL,,16680,17263.8,
CS96-125,,2145,2220.08,
RB0806,,1890,1956.15,
RB1007,,2045,2116.58,
SY7120-5L-02,,2055,2126.93,
KQ2H10-04AS,,117,121.1,
AS4201F-04-10SA,,600,621,
ITV2030-043BL3,,97665,101083.28,
VXD230AEXB,,2075,2147.63,
CDQ2B32TF -10DMZ,,1960,2028.6,
CQ2B50-10DZ-XB6,,4845,5014.58,
CP96SDB32-225C,,2945,3048.08,
CP96SDB32-220C,,2945,3048.08,
ZL112A-G,,11050,11436.75,
PF3W740-F06-A-M,,21820,22583.7,
SY5320-5LZD-01,,4640,4802.4,
SY5120-5LZD-01,,2320,2401.2,
AC40-N04G-Z-B,,5540,5733.9,
KQ2U12-U04A,,258,267.03,
ZP2-TB10MBN-H5,,1050,1086.75,
ZP2-TB08MBN-H5,,935,967.73,
ZP2-TB15MBS-H5,,1125,1164.38,
CQ2B25-PS,,290,300.15,
CDQ2A80-50DMZ,,5970,6178.95,
CP96SDB50-50CW,,4060,4202.1,
CP96SDB63-200C-M9PL,,7235,7488.23,
CP96SDB80-160C-M9PL,,8685,8988.98,
KJ16D,,988,1022.58,
DS5063,,2975,3079.13,
SY5320-5DZ-02,,6300,6520.5,
SY7120-5LOZ-02,,2475,2561.63,
IDFA6E-23,,44365,45917.78,
AM350C -03BD,,6950,7193.25,
AFF8C -03BD,,7380,7638.3,
AMG350C -03BD,,7945,8223.08,
MDBF50-75Z-M9PL,,6190,6406.65,
MDBF50-125Z-M9PL,,6350,6572.25,
MKB32-30RZ-M9PL,,11775,12187.13,
MKB32-30LZ-M9PL,,11775,12187.13,
ZPT63HBNJ25-B01-A18,,4520,4678.2,
IF311-10-01,,6270,6489.45,
MGPM50-400Z-M9PL,,34475,35681.63,
MY1B50-700Z-M9PL,,34205,35402.18,
MDBB100-900Z-M9PL,,15690,16239.15,
CDQ2A40-50DMZ-P3DWASE-XC35,,13225,13687.88,
MHZJ2-25D(19_3_0),,18155,18790.43,
MGPM40-100Z-M9BL(0_0_0),,14310,14810.85,
MGPL63-25Z-XC35W,,23055,23861.93,
CDQ2WB50-10DZ-M9BVL,,7885,8160.98,
IL100-02,,6795,7032.83,
ASP630F-04-10S,,3960,4098.6,
VFM250-02-34B,,4390,4543.65,
Y-G04,,785,812.48,
CQ-D032,,405,419.18,
SY5000-GS-1,,370,382.95,
PF2MC7501-N04-F-RA,,22610,23401.35,
RSDQB50-30DDZ-M9PSAPCS,,15155,15685.43,
CP96SDB63-400C-M9PSAPC,,8895,9206.33,
CDQ2B80-30DZ-M9PSAPC,,8480,8776.8,
MDB1B80-700Z-M9PSAPC,,12800,13248,
MQRF8-M5,,59805,61898.18,
CQ2B32-20DZ,,1485,1536.98,
CD85N25-30C-B-M9PL,,3415,3534.53,
C85C25,,175,181.13,
GKM10-20,,180,186.3,
CD85E16-75-A,,1770,1831.95,
CD85E25-75-B,,1615,1671.53,
CD85E16-50-B,,1395,1443.83,
CDQ2A40-75DZ,,2825,2923.88,
SY5120-5L-01,,1935,2002.73,
C85N20-X5X1424-100,,2335,2416.73,
TU1208C-20,,3175,3286.13,
CHDKGB32-10M-M9B,,8500,8797.5,
CD85N25-25C-B-M9PL,,4925,5097.38,
CHDKGB32-50M-M9B,,10425,10789.88,
ZSE20-P-01-LA1,,3855,3989.93,
AQ3000-N03,,1440,1490.4,
AQ5000-N04,,2035,2106.23,
PFMC7501-N04-F-A,,22160,22935.6,
KQ2H04-M3G,,145,150.08,
ISE20-N-01-LA1,,3855,3989.93,
AC20A-02G1-B,,2470,2556.45,
Y200-A,,190,196.65,
CP96SB50-250C,,3925,4062.38,
MDBF100-900Z –M9PL,,15110,15638.85,
RS2H50-30DM-DQ-M9PSAPCS,,19390,20068.65,
MY1B40-1100HZ-M9PSAPC,,35305,36540.68,
MDBB50-500Z-M9PSAPC,,7830,8104.05,
CDQ2A63-50DZ-M9PSAPC,,7140,7389.9,
MGPM40-75AZ-M9PSAPC,,28500,29497.5,
CD85E16 -75- B,,1425,1474.88,
BJ3-1+BJ2-016,,305,315.68,
BJ3-1+BM2-025,,300,310.5,
CS95-40,,720,745.2,
MHS3-32,,21400,22149,
AW20-02B-D,,1620,1676.7,
VQ21A1-5G-C6,,975,1009.13,
MHZ2-16,,13740,14220.9,
CD55B40-80-A93,,4980,5154.3,
MDB1B50-50Z-A93,,4585,4745.48,
MHC2-20D,,8015,8295.53,
SSQ2000-PR-3-C10-S,,1405,1454.18,
CQ2B32-20DMZ,,1575,1630.13,
MDBF63-125Z-P4DWSE,,12630,13072.05,
SS5Y7-20-12,,3260,3374.1,
AW30-03BE3-B,,6000,6210,
CDJ2F16-125Z-M9B-B,,4060,4202.1,
AR10-M5B-A,,970,1003.95,
SY3120-5HZE-M5,,2690,2784.15,
SS5Y3-20-04,,905,936.68,
CXSM20-50-Y59B,,11220,11612.7,
CDU20-50D-M9B,,5075,5252.63,
CDJ2L6-10R-M9BS,,0,0,
CDQ2A100-XC12Z-DCS4718S,,118575,122725.13,
SS5Y3-20-07,,1405,1454.18,
SS5Y9-23-02,,2700,2794.5,
SY9000-26-1A,,255,263.93,
AW40-03BE1-B,,7310,7565.85,
VHS40-03,,2065,2137.28,
KQ2S06-M5A,,83,85.91,
KQ2S10-03AS,,132,136.62,
AW30-03BE-B,,2920,3022.2,
ASV410F-03-08S,,1285,1329.98,
VQ7-6-FG-D-3ZR,,7455,7715.93,
GD40-2-01,,3165,3275.78,
AW30-F02DEH-R-B,,3705,3834.68,
AFM30-F02D,,1925,1992.38,
AFD30-F02D,,3120,3229.2,
KQG2L12-03S,,1998,2067.93,
KQG2H12-03S,,1134,1173.69,
KQG2L12-02S,,1998,2067.93,
KQG2H12-02S,,1134,1173.69,
CP96SDB32-160C,,2815,2913.53,
CD55B-25-80M-M9PL,,4695,4859.33,
MDSUB7-90D,,26395,27318.83,
VM230-02-08A,,1900,1966.5,
Y – 05M,,485,501.98,
MGPM32-300Z,,10410,10774.35,
VBAT20A1-R,,26405,27329.18,
CQ2A25-25D,,1230,1273.05,
MBD32-100,,2830,2929.05,
SY7120-5D-02,,2675,2768.63,
SY5220-5D-01,,3315,3431.03,
VP342-5D1-02A-F,,2835,2934.23,
CQ2WA40TF-20D,,3980,4119.3,
MHC2-25D,,9250,9573.75,
VXE2120V-02-5DL1-B,,4125,4269.38,
ZP40HBS,,1735,1795.73,
MHY2-25D,,12965,13418.78,
PFM711-02-B,,11225,11617.88,
D-P3DWA,,3090,3198.15,
MGPM50-200Z-M9PL,,20320,21031.2,
CDQ2A80-50DMZ-M9BL,,8455,8750.93,
MDB1B80-50Z-M9BL,,7630,7897.05,
VP544-5DZ1-03FA,,3720,3850.2,
IS10-01-6L,,3805,3938.18,
AS2052F-06A,,755,781.43,
KJ10D,,491,508.19,
D-C73L,,960,993.6,
CDQ2A63TF-100DZ-XC35,,9470,9801.45,
VP342-5YO1-02FA,,2640,2732.4,
EAQ3000-F03,,1485,1536.98,
VR1210F-04,,650,672.75,
IS10M-30-6L-A,,3850,3984.75,
AC30A-F03DE-B,,4680,4843.8,
VFA5220-03F,,6030,6241.05,
CD85N25-25C-B-M9PLS,,3375,3493.13,
ZPT40BN-A8,,1185,1226.48,
ZPT40HU-B10,,1840,1904.4,
IL201-02,,7000,7245,
TU0604R-20,,745,771.08,
AQ2000-02,,990,1024.65,
C85WE25-25-X1Q3BPLB,,3125,3234.38,
CD85N25-50-B-M9PL,,4730,4895.55,
MDBB40-100Z-M9PL,,5440,5630.4,
MHS3-25,,19750,20441.25,
CDRQ2BS30-180C-M9PL,,18980,19644.3,
RBC1006S,,2110,2183.85,
ZS-46-5L,,810,838.35,
MGP16-PS,,240,248.4,
CQ2WB40-PS,,560,579.6,
MHC25-PS,,825,853.88,
SY9120-5D-03,,3330,3446.55,
SY9140-5D-04,,4360,4512.6,
VQ5101-5W1,,5000,5175,
AC40B-04G1-B,,3385,3503.48,
AXT100-DS25-015,,2170,2245.95,
ITV2030-04F3CL4,,19635,20322.23,
CDJ2D16-25-A73,,2890,2991.15,
ISE30A-01-B-LA1,,3750,3881.25,
ITV2030-04F3CL3,,19635,20322.23,
SS5YS-20-05-00F-Q,,0,0,
CD55B40-60M-M9PL,,5630,5827.05,
CD85E25-200-B-M9PL,,4990,5164.65,
CA2D50-200Z,,5945,6153.08,
CA2-B05,,930,962.55,
C85N25-250C,,1940,2007.9,
CDQ2A63-25DMZ,,3600,3726,
C85N16-10C,,1530,1583.55,
C85N16-25C,,1545,1599.08,
C85N25-40C,,1610,1666.35,
CD85N25-40C-B,,1840,1904.4,
AR20K-02BG-B,,1875,1940.63,
SY9420-5DZ-03,,6945,7188.08,
ASP630F-04-12S,,3960,4098.6,
VM430-01-30R,,2495,"2,582.33",
CD85N20-80-B,,1665,"1,723.28",
SY9120-5D-03,,3330,"3,446.55",
VFM250-02-01S,,4130,"4,274.55",
MGPM32-75Z,,11155,"11,545.43",
D-M9NAL,,1680,"1,738.80",
BMG7-032,,740,765.9,
KQ2H08-02AS,,84,86.94,
VO307 -5DZ1,,2390,2473.65,
MGPM25-50Z-M9BZ,,10540,10908.9,
SS5YS-20-05-00F-Q,,2420,2504.7,
SY5120-5YO-01F-Q,,3185,3296.48,
SY5420-5YO-01F-Q,,5340,5526.9,
AS2201-G02-F06-X785,,3290,3405.15,
CP96SB50-600C,,5480,5671.8,
CP96SB80-200C,,6195,6411.83,
CP96SB80-50C,,5120,5299.2,
LEFB32UNZS-1500C,,65435,67725.23,
MSQB20R-A93,,30300,31360.5,
MXF-A1627-X11,,1460,1511.1,
MXF16-50-A93L,,25315,26201.03,
MY1H20G-115L-A93L,,39150,40520.25,
MXQ8L-20CS-M9BL,,21310,22055.85,
MHS3-20D,,16445,17020.58,
CDU20-20D-A93,,4260,4409.1,
CDQSB16-25DM-A93L,,4075,4217.63,
MXQ12-30CSR-M9BL,,28275,29264.63,
MY1H20G-150L-A93,,39150,40520.25,
MXP16-20-A93,,23190,24001.65,
MSQB7A-M9B,,21310,22055.85,
MXS6-20-A93,,16620,17201.7,
MHSL3-20D,,18305,18945.68,
CDQ2B40-10DCM-A93,,4365,4517.78,
CDG1BA32-100-C73,,6405,6629.18,
MHY2-10D-F9B,,11520,11923.2,
MXQ6-10-M9B,,17160,17760.6,
MXQ8-75C-M9B,,32130,33254.55,
ASD330F-01-08S,,1135,1174.73,
SS5Y5-41-14-01,,6265,6484.28,
CDQ2B20-35DC-A73,,3300,3415.5,
MY2H16G-65L-A93L,,37240,38543.4,
MY1H16G-205L-A93L,,41190,42631.65,
MY1H16G-130L-A93L,,38560,39909.6,
MY2H16G-70L-A93L,,37240,38543.4,
MXF12-50-A93L,,23585,24410.48,
MXQ12-10CS-M9BL,,23355,24172.43,
MHR3-15R,,26030,26941.05,
MHZ2-16S,,11180,11571.3,
CDQSB25-20DCM-A93L,,4855,5024.93,
CDQ2WB125-20DCZ-A93L,,17830,18454.05,
CDQ2WA40-75DCMZ-A93L,,6390,6613.65,
JB20-5-080,,1435,1485.23,
CDQSB20-50DC-A93L,,4950,5123.25,
MXF16-75-A93L,,29700,30739.5,
MY1H10G-100H-A93,,28265,29254.28,
CDQ2B32-20DCZ-A73L,,4025,4165.88,
JAF20-8-125,,2075,2147.63,
AFM20-02BC-A,,2415,2499.53,
AR30K-03BG,,2245,2323.58,
VP344-5G1-02A,,2755,2851.43,
ASP330F-01-06S,,2100,2173.5,
AFM40-04BC-A,,4365,4517.78,
CDQ2A63-100DCM-A93L,,7440,7700.4,
CDQ2A32-100DCM-A93,,4400,4554,
CDM2B20-150-C73L,,3985,4124.48,
MXQ12-20-M9B,,21370,22117.95,
CDM2B20-50A-C73,,4860,5030.1,
IR2010-02B,,4665,4828.28,
AWD30-03BG,,5110,5288.85,
MXY12-300B-A93L,,42550,44039.25,
